Id,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF),Price per sqm (HUF),Street,Size(sqm),Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony,Attic,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
3651,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275000,3666.666667, Nárcisz utca 49/b,75,1,-1,1,street view,0,0,1,not available,0,available,1,2 room,2,0,mint,0,0,0,0,0,1,full comfort,0,1,0,not specified,0,3,less than 3 m,combination boiler,0,0,1,0,0,not specified,separate,1,0,Southeast,0,0,0,0,0,0,0,1,no,11 sqm,no loft conversion, Villamos   59   59A   59B    Busz   102   110   112    Éjszakai   990   ,47.491104,19.006884,47.491104,19.006884,1124,12,74,45,1,16,42,6,9,19,0,2,35,22,7,89,0,5,418
3652,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,2978.723404, Mester utca,47,2,-1,1,street view,0,0,1,not available,0,available,1,2 room,2,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,not specified,1,5,3 m or more,combination boiler,0,0,1,0,0,no,separate,1,0,East,0,0,1,0,0,0,0,0,no,3 sqm,no loft conversion, Villamos   2   24   37   37A   51   51A    Busz   281    Éjszakai   923   901   918   ,47.47286,19.080404,47.47286,19.080404,1095,9,215,82,3,39,56,9,39,28,5,3,39,56,6,181,0,8,397
3653,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,3888.888889, Ilka utca 21.,36,not specified,-1,-1,not specified,0,0,0,not specified,-1,-1,-1,1 room,1,0,not specified,0,0,0,0,0,0,not specified,0,0,0,not specified,0,not specified,not specified,not specified,0,0,0,0,0,not specified,not specified,-1,-1,not specified,0,0,0,0,0,0,0,0,not specified,-1,not specified, Busz   7   5   110   112    Éjszakai   907   973   979    Troli   75   77   ,47.50747,19.099197,47.50747,19.099197,1143,14,168,62,3,45,45,14,10,17,9,5,39,45,14,235,1,13,252
3654,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,3589.74359, Illés utca,39,5,-1,1,garden view,1,0,0,available,1,-1,-1,1 + 1 half room,1,1,mint,0,0,0,0,0,1,full comfort,0,1,0,not specified,1,6,not specified,central heating (metered),0,0,0,0,1,not specified,together,0,1,not specified,0,0,0,0,0,0,0,0,no,-1,no loft conversion, Busz   9   99    Éjszakai   909    Troli   83   ,47.48593,19.08503,47.48593,19.08503,1083,8,411,144,8,70,108,18,39,42,5,3,146,115,14,193,1,12,559
3655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,2000, Thököly út 30,60,not specified,-1,-1,not specified,0,0,0,not specified,-1,-1,-1,2 room,2,0,not specified,0,0,0,0,0,0,not specified,0,0,0,not specified,0,not specified,not specified,not specified,0,0,0,0,0,not specified,not specified,-1,-1,not specified,0,0,0,0,0,0,0,0,not specified,-1,not specified, Busz   112   133E   178   20E   5   30   230   30A   7   110    Éjszakai   908   931   956   990   973   907    Troli   73   76   79   ,47.50312,19.086943,47.50312,19.086943,1076,7,408,88,7,69,75,18,48,32,8,2,78,113,12,188,1,12,579
3656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,4861.111111, Hollán Ernő utca,72,5,-1,1,street view,0,0,1,available,1,available,1,2 room,2,0,newly built,1,0,0,0,0,0,double comfort,1,0,0,not specified,1,5,not specified,wall heating,0,0,0,0,0,not specified,separate,1,0,not specified,0,0,0,0,0,0,0,0,no,12 sqm,top floor, Villamos   4   6    Busz   15   115    Troli   75   76    Hajó   D11   ,47.51609,19.05158,47.51609,19.05158,1136,13,666,72,10,141,105,32,47,37,13,8,123,274,6,204,4,16,693
3657,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165000,3235.294118, Kruspér utca,51,semi-basement,-1,1,not specified,0,0,0,not specified,-1,not available,0,2 + 1 half room,2,1,newly built,1,0,0,0,0,0,full comfort,0,1,0,not specified,0,not specified,less than 3 m,electric,0,0,0,0,0,no,together,0,1,not specified,0,0,0,0,0,0,0,0,not specified,-1,no loft conversion, Villamos   19   41   47   47B   48   49   56   56A   6    Busz   133E   6   33    Éjszakai   973   907   ,47.47834,19.05466,47.47834,19.05466,1111,11,629,124,16,122,81,34,35,44,5,2,163,258,3,263,1,14,1402
3658,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,3061.22449, Jókai Mór utca,49,not specified,-1,-1,not specified,0,0,0,not specified,-1,-1,-1,2 room,2,0,not specified,0,0,0,0,0,0,not specified,0,0,0,not specified,0,not specified,not specified,not specified,0,0,0,0,0,not specified,not specified,-1,-1,not specified,0,0,0,0,0,0,0,0,not specified,-1,not specified, Villamos   51   52    Busz   23   23E   51   52   66   148   66B    Éjszakai   923   966   ,47.44398,19.111406,47.44398,19.111406,1203,20,13,36,0,2,8,2,3,10,2,2,2,4,5,27,0,2,128
3659,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,2745.098039, Selyemfonó utca,51,not specified,-1,-1,not specified,0,0,0,not specified,-1,-1,-1,1 + 2 half room,1,2,not specified,0,0,0,0,0,0,not specified,0,0,0,not specified,0,not specified,not specified,not specified,0,0,0,0,0,not specified,not specified,-1,-1,not specified,0,0,0,0,0,0,0,0,not specified,-1,not specified, Hév   H5    Busz   118    Éjszakai   918   ,47.55345,19.04257,47.55345,19.04257,1033,3,71,27,2,17,16,1,10,14,0,2,35,35,13,197,0,19,365
3660,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,5970.149254, Hercegprímás utca 2,67,not specified,-1,-1,not specified,0,0,0,not specified,-1,-1,-1,3 room,3,0,not specified,0,0,0,0,0,0,not specified,0,0,0,not specified,0,not specified,not specified,not specified,0,0,0,0,0,not specified,not specified,-1,-1,not specified,0,0,0,0,0,0,0,0,not specified,-1,not specified, Villamos   47   47B   48   49    Metró   M1   M2   M3    Busz   9   15   16   105   115    Éjszakai   909   914   914A   916   931   950   950A   979   979A   990   ,47.499268,19.05328,47.499268,19.05328,1051,5,1519,170,23,263,109,101,104,64,9,13,230,408,6,187,4,17,1418
